SID	len_mid	len_min	len_max	type	Sp_Aff	seg_SNPs	start5	start3	stop5	stop3	event_snp	LocalEventHpM_NWT	LocalEventHpM_Ntel	LocalEventHpM_Ntkd	LocalEventHpM_SFA	LocalEventHpM_DC	total_nb_seg	Event_len_max	Event_len_mid	nb_62_seg	proportion	LCO	chr	Meiosis	EID	EventSpAff	LSB	LNCO	groupe	classe	Event_type	Event_len_min	debut	fin	Genotype	SegHpM_NWT	SegHpM_DC	SegHpM_Ntel	SegHpM_Ntkd	SegHpM_SFA	exp_local_hits_seg_NWT	exp_local_hits_seg_Ntel	exp_local_hits_seg_Ntkd	exp_local_hits_seg_SFA	exp_local_hits_seg_DC	Seg_Obs_Exp_HpM_NWT	Seg_Obs_Exp_HpM_Ntel	Seg_Obs_Exp_HpM_Ntkd	Seg_Obs_Exp_HpM_SFA	Seg_Obs_Exp_HpM_DC	boundary_cross	hotspot_overlapW	hotspot_boundary_crossW	est_dist_DSBsW	hotspot_overlapF	hotspot_boundary_crossF	est_dist_DSBsF	SegType	seg_cat	len_cat	Classification	Notes
942	774	0	1547	2:6	78	1	177082	177853	177853	178629	1	543.4635	658.6269	530.2064	1480.8864	21.0636	1	1546	100	1	0	0	9	OM5	83	78	1	1	1	10.1	2:6	1	177467.25	178241.25	OM	543.463494008604	21.0636	658.626870721479	530.206440006881	1480.88642136753	543.815028783959	659.052919987063	530.549353686934	1481.84428253558	21.0772245795602	0.9994	0.9994	0.9994	0.9994	0.9994	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	CN1	
943	662	522	803	(6:2)	78	4	694539	694708	695230	695342	4	196.1275	160.874	198.3874	25.7388	0.6548	1	802	100	1	0	1	7	OM2	84	78	1	0	1	15	(6:2)_(4:4aCO)	523	694623.75	695285.75	OM	196.127536799459	0.6548	160.873964716218	198.387371019218	25.7387967279668	196.372048004988	161.074591022444	198.634765835411	25.7708932668329	0.655616458852868	0.9988	0.9988	0.9988	0.9988	0.9988	0	1	0	0	0	0	0	6:2/2:6 Segment	single	500_750	AC	
944	243	80	406	(6:2)	78	4	374268	374496	374576	374674	10	370.2996	306.4424	243.7051	62.5186	5.7482	4	1326	23.6842105263158	1	0	1	9	OM3	84	78_478_78_78	1	0	3	20	(6:2)_(3:5)_(5:3)_(3:5)_(4:4aCO)	725	374381.75	375407.75	OM	89.9655642909988	0.547	89.1148611676101	72.8627618246551	16.2790636825716	113.37981719457	93.8277634992459	74.6186052790347	19.1421957767722	1.76000693815988	0.7935	0.9498	0.9765	0.8504	0.3108	0	1	0	0	0	0	0	6:2/2:6 Segment	single	30_150	AC	
948	392	82	701	(2:6)	34	2	41664	41898	41980	42365	2	299.6333	306.276	312.4578	355.0414	6.3468	1	700	100	1	0	1	9	OM4	84	34	1	0	1	16	(2:6)_(4:4aCO)	83	41780.75	42172.75	OM	299.633251948769	6.3468	306.276033952131	312.457833869277	355.041442229679	300.061347571429	306.713537142857	312.904168285714	355.548602	6.35586685714286	0.9986	0.9986	0.9986	0.9986	0.9986	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
949	298	0	596	(2:6)	78	1	274516	274938	274938	275112	5	210.1763	177.1951	173.7272	241.2477	4.7294	2	855	53.6936936936937	1	0	1	9	OM5	84	78_478	1	0	3	20	(2:6)_(5:3)_(4:4aCO)	255	274727	275282	OM	205.460746542073	4.7294	171.814848673695	166.468953973077	239.170541124505	146.508859415205	123.518455672515	121.101065730994	168.167987368421	3.29675134502924	1.4024	1.391	1.3746	1.4222	1.4346	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
951	186	0	373	(2:6)	34	1	36445	36722	36722	36818	4	695.6137	615.1716	1411.5514	282.9925	21.2428	3	1449	20.0431034482759	2	0	1	10	OM6	84	34_34_78	1	0	3	20	(2:6)_(4:4)_(6:2)_(4:4aCO)	406	36583.25	37511.25	OM	615.254360503544	20.9448	553.9667960876	1270.70909449042	271.727468079385	179.064120151829	158.356802484472	363.360022222222	72.8476207729469	5.46829841269841	3.4359	3.4982	3.4971	3.7301	3.8302	0	1	0	0	1	0	0	6:2/2:6 Segment	multi	30_150	AC	
953	521	0	1042	(6:2)	78	1	36853	37127	37127	37895	4	695.6137	615.1716	1411.5514	282.9925	21.2428	3	1449	56.1422413793103	2	0	1	10	OM6	84	34_34_78	1	0	3	20	(2:6)_(4:4)_(6:2)_(4:4aCO)	406	36583.25	37511.25	OM	79.3314326018152	0.298	60.3366014432148	133.938206147042	11.1490103883613	500.227381228433	442.380129192547	1015.07008888889	203.50461352657	15.2760507936508	0.1586	0.1364	0.1319	0.0548	0.0195	0	1	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
954	152	0	303	6:2	12	1	636413	636660	636660	636716	3	25.8853	23.2284	24.0559	8.6441	0.0584	2	1035	25.6323777403035	1	0	0	7	OM7	84	12_2	1	1	1	7	6:2_5:3	151	636536.5	637129.5	OM	3.20929422233418	0	2.71646638859389	2.47222801153648	1.17700226312187	7.57801536231884	6.80019826086957	7.04245188405797	2.5305915942029	0.0170968115942029	0.4235	0.3995	0.351	0.4651	0	0	0	0	0	0	0	0	6:2/2:6 Segment	single	30_150	CN2	
956	842	141	1542	(2:6)	56	2	120445	121477	121618	121987	6	1639.6868	1739.0608	2004.2874	1394.1019	62.2676	3	2209	50	2	0	1	8	OM8	84	56_12_12	1	0	1	12	(2:6)_(4:4aCO)_(2:6)_(4:4a)	1158	120960.75	122644.75	OM	136.656819242002	1.6062	110.930712912373	177.118928564831	128.228724628634	1144.58897492078	1213.95733526483	1399.09966989588	973.157596106836	43.4661110004527	0.1194	0.0914	0.1266	0.1318	0.037	0	1	0	0	1	0	0	6:2/2:6 Segment	multi	30_150	AC	
958	244	1	486	(2:6)	12	2	122169	122633	122634	122655	6	1639.6868	1739.0608	2004.2874	1394.1019	62.2676	3	2209	14.4893111638955	2	0	1	8	OM8	84	56_12_12	1	0	1	12	(2:6)_(4:4aCO)_(2:6)_(4:4a)	1158	120960.75	122644.75	OM	679.410237524119	31.956	958.415613246957	878.245073123635	859.875979125489	360.745941511996	382.609121231326	440.961374558624	306.715040018108	13.6994357627886	1.8833	2.5049	1.9917	2.8035	2.3327	0	1	0	0	1	0	0	6:2/2:6 Segment	multi	30_150	AC	
959	423	0	846	2:6	12	1	732583	733373	733373	733429	4	996.0652	1059.6981	926.6084	9179.8895	51.6894	2	1089	65.8878504672897	1	0	0	7	OM2	85	12_2	1	1	1	8	2:6_3:5	195	732978	733620	OM	820.153668103122	48.4756	854.624551794613	704.02426353094	9019.10465218174	773.802717355372	823.236540495868	719.84454214876	7131.48440495868	40.1554016528926	1.0599	1.0381	0.978	1.2647	1.2072	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	CN2	
962	322	0	644	2:6	5	1	421490	421791	421791	422134	3	46.0806	43.0269	23.4393	6.3931	0.1796	2	855	54.9488054607508	1	0	0	9	OM3	85	6_5	1	1	1	8	3:5_2:6	317	421376.5	421962.5	OM	45.9821794720524	0.1796	42.95603773892	23.1594463297007	6.17411012067669	34.7086624561403	32.4085656140351	17.6548645614035	4.81538760233918	0.135277660818713	1.3248	1.3255	1.3118	1.2822	1.3276	0	1	0	0	0	0	0	6:2/2:6 Segment	single	30_150	CN3	
964	425	8	842	(6:2)	2	2	332503	333073	333081	333345	5	2376.8588	2562.8599	2288.0135	2962.9101	103.025	4	2180	26.0736196319018	2	0	1	9	OM5	85	1_2_4_4	1	0	2	32	(5:3)_(6:2)_(5:3a)_(6:2)_(4:4aCO)	1079	332480.75	334110.75	OM	998.049492996914	41.1294	1162.4012538824	933.608997595605	1523.95254004046	918.034453944954	989.875245779817	883.718975688073	1144.39004779817	39.7922247706422	1.0872	1.1743	1.0565	1.3317	1.0336	0	1	0	0	1	0	0	6:2/2:6 Segment	multi	30_150	AC	
966	648	0	1295	(6:2)	4	1	333345	333581	333581	334640	5	2376.8588	2562.8599	2288.0135	2962.9101	103.025	4	2180	39.7546012269939	2	0	1	9	OM5	85	1_2_4_4	1	0	2	32	(5:3)_(6:2)_(5:3a)_(6:2)_(4:4aCO)	1079	332480.75	334110.75	OM	1390.84019915187	61.8956	1414.65523544176	1359.17778938656	1436.1164203601	1411.94135137615	1522.43283050459	1359.16398279817	1760.07733004587	61.200630733945	0.9851	0.9292	1	0.8159	1.0114	0	2	0	1561.5	1	0	0	6:2/2:6 Segment	multi	30_150	AC	
972	575	138	1012	(2:6)	1	2	168244	168373	168511	169256	21	15.1702	9.8172	12.1653	11.2995	0.355	8	3173	18.5963777490298	1	0	1	9	OM4	86	2_2_2_2_2_1_34_3	1	0	2	32	(3:5)_(4:4)_(3:5)_(4:4)_(3:5)_(2:6)_(4:4aCO)_(3:5a)_(4:4a)	3011	166712	169804	OM	2.69546706259814	0	0.955334357370213	0.999813537375839	2.33199700475073	4.83839974787268	3.13110822565396	3.88001374093917	3.60387456665616	0.113224078159471	0.5571	0.3051	0.2577	0.6471	0	0	0	0	0	0	0	0	6:2/2:6 Segment	single	30_150	AC	almost a CC2
977	146	0	291	6:2	78	1	386765	386850	386850	387056	34	217.4563	216.6426	116.1487	110.3748	4.14	5	2577	5.92532467532468	2	0	0	9	OM5	86	7_7_78_78_78	1	1	1	7	5:3_4:4_6:2_4:4_6:2	2352	386349.75	388813.75	OM	53.0651323307692	2.2814	54.433353290846	43.9113784692618	6.45350560944937	24.555600814901	24.4637161816065	13.1157437718277	12.4637434225844	0.467497089639115	2.161	2.2251	3.348	0.5178	4.88	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AN	
979	1644	1418	1869	6:2	78	24	387056	387285	388703	388925	34	217.4563	216.6426	116.1487	110.3748	4.14	5	2577	66.7207792207792	2	0	0	9	OM5	86	7_7_78_78_78	1	1	1	7	5:3_4:4_6:2_4:4_6:2	2352	386349.75	388813.75	OM	143.510115266233	1.8586	141.966526447452	59.2248490774366	94.265617084539	157.71277636787	157.122630733411	84.2382306169965	80.0506407450524	3.00258440046566	0.9099	0.9035	0.7031	1.1776	0.619	0	2	0	962	1	0	0	6:2/2:6 Segment	multi	>1000	AN	
980	186	0	373	(6:2)	34	1	766129	766363	766363	766502	3	876.4144	1246.4474	826.8407	833.7855	37.713	2	667	42.0814479638009	1	0	1	7	OM7	86	34_6	1	0	1	8	(6:2)_(5:3)_(4:4aCO)	217	766246	766688	OM	637.019846932534	29.5054	910.286506479195	623.392642455079	611.87792102757	490.108802398801	697.03880089955	462.38617856072	466.269852323838	21.0898785607196	1.2998	1.3059	1.3482	1.3123	1.399	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
982	174	0	348	(2:6)	78	1	69155	69275	69275	69503	6	55.374	63.155	50.8917	22.7908	0.2312	4	874	24.6110325318246	1	0	1	10	OM3	87	78_6_78_78	1	0	3	20	(2:6)_(3:5)_(5:3)_(3:5)_(4:4aCO)	540	69215	69922	OM	44.8326950025787	0.2312	53.3580895130499	38.0617291175322	17.4957795185695	22.0482288329519	25.1463844393593	20.263514416476	9.07459771167048	0.0920567505720824	2.0334	2.1219	1.8783	1.928	2.5115	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
986	581	0	1162	2:6	34	1	249032	249546	249546	250194	1	824.4907	909.039	849.2197	993.7305	29.1854	1	1161	100	1	0	0	9	OM4	87	34	1	1	1	10.1	2:6	1	249289	249870	OM	824.490741423378	29.1854	909.039000447877	849.219673960153	993.730526487058	825.200855641688	909.821979328165	849.95115538329	994.586426356589	29.2105381567614	0.9991	0.9991	0.9991	0.9991	0.9991	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	CN1	
987	196	0	393	(2:6)	12	1	405428	405665	405665	405821	4	33.0139	29.0583	24.3514	10.5078	0.2982	3	695	39.0438247011952	2	0	1	9	OM5	87	12_34_34	1	0	1	12	(2:6)_(4:4aCO)_(2:6)_(4:4a)	309	405546.5	406048.5	OM	1.27521558486952	0	0.26556514698125	0.725354919272667	0.42484519900379	18.6682916546763	16.4315279136691	13.7699283453237	5.94182071942446	0.168622446043165	0.0683	0.0162	0.0527	0.0715	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
989	166	28	303	(2:6)	34	2	405821	405945	405973	406124	4	33.0139	29.0583	24.3514	10.5078	0.2982	3	695	33.0677290836653	2	0	1	9	OM5	87	12_34_34	1	0	1	12	(2:6)_(4:4aCO)_(2:6)_(4:4a)	309	405546.5	406048.5	OM	31.771462664963	0.2982	28.7927632823283	23.6569525856939	10.0829460404019	14.3931103597122	12.6685825899281	10.6165096402878	4.58109841726619	0.130006618705036	2.2074	2.2728	2.2283	2.201	2.2937	0	1	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
992	95	0	190	2:6	7	1	796396	796413	796413	796586	15	207.6609	237.5747	196.6104	62.6154	2.5324	3	1392	7.44514106583072	1	0	0	7	OM7	87	7_78_7	1	1	2	14	3:5_3:5a_2:6	1161	795223.25	796499.25	OM	2.75548191481571	0	1.75533060805045	2.01983138993274	0.42484519900379	28.3445193965517	32.4275811781609	26.8361896551724	8.54664224137931	0.345658045977011	0.0972	0.0541	0.0753	0.0497	0	0	0	0	0	0	0	0	6:2/2:6 Segment	single	30_150	IN	Phasing reveals incompatibility
994	122	0	243	(2:6)	2	1	462176	462297	462297	462419	21	1802.9056	1907.4113	2061.1917	994.2912	110.3296	5	4075	3.16718587746625	2	0	1	8	OM8	87	1_2_2_2_278	1	0	3	20	(3:5)_(2:6)_(3:5)_(2:6)_(5:3)_(4:4aCO)	3630	459716.75	463568.75	OM	1168.16299195415	86.7588	1246.41426349184	1333.78766663524	392.176133723484	107.510689766871	113.742563411043	122.912781128834	59.2914752392638	6.57916387730061	10.8656	10.9582	10.8515	6.6144	13.1869	0	1	0	0	1	0	0	6:2/2:6 Segment	multi	30_150	IN	
996	302	0	603	(2:6)	2	1	462717	462825	462825	463320	21	1802.9056	1907.4113	2061.1917	994.2912	110.3296	5	4075	7.84008307372793	2	0	1	8	OM8	87	1_2_2_2_278	1	0	3	20	(3:5)_(2:6)_(3:5)_(2:6)_(5:3)_(4:4aCO)	3630	459716.75	463568.75	OM	6.14041960463995	0	4.7268595671913	7.69274299450912	3.13237054777623	266.785785717791	282.250064760736	305.005790208589	147.130697815951	16.3260733251534	0.023	0.0167	0.0252	0.0213	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	IN	
1001	20	0	40	(6:2)	5	1	33151	33169	33169	33191	34	173.2753	221.4034	181.5073	65.2506	3.2276	7	3839	0.607533414337789	2	0	1	9	OM9	87	5_5_578_5_5_5_5	1	0	3	20	(3:5)_(4:4)_(5:3)_(6:2)_(5:3)_(6:2)_(5:3)_(4:4aCO)	2745	31381	34673	OM	2.12472581800912	0	3.49065630860702	1.68535995446007	0.675330807269739	1.8054212034384	2.30688616827299	1.89119353998437	0.679870799687419	0.0336295910393332	1.1769	1.5131	0.8912	0.9933	0	0	1	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	IC	
1003	212	0	424	(6:2)	5	1	33387	33678	33678	33811	34	173.2753	221.4034	181.5073	65.2506	3.2276	7	3839	6.43985419198056	2	0	1	9	OM9	87	5_5_578_5_5_5_5	1	0	3	20	(3:5)_(4:4)_(5:3)_(6:2)_(5:3)_(6:2)_(5:3)_(4:4aCO)	2745	31381	34673	OM	3.8245464823179	0	3.20328581245745	4.14558540252265	1.39607713616597	19.137464756447	24.4529933836937	20.0466515238343	7.20663047668664	0.356473665016932	0.1998	0.131	0.2068	0.1937	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	IC	
1006	354	0	708	(6:2)	5	1	847980	848452	848452	848688	16	1877.0579	2279.5252	2887.7196	4924.7623	89.7536	6	2723	14.047619047619	1	0	1	7	OM7	88	6_5_5_7_58_5	1	0	3	21	(5:3)_(6:2)_(5:3)_(4:4ai)_(4:4bCO)_(3:5)_(4:4b)	2317	847619.5	850139.5	OM	278.457111368556	5.2458	218.168619925913	291.830028240309	787.150523804804	488.048840690415	592.693294748439	750.828305839148	1280.47436959236	23.3365952258538	0.5706	0.3681	0.3887	0.6147	0.2248	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	IC	
1011	1219	877	1561	6:2	34	11	701596	701914	702791	703157	12	283.0269	356.6857	393.6567	316.0079	5.3802	2	2260	69.5776255707763	1	0	0	7	OM1	89	34_3	1	1	1	7	6:2_5:3	1244	701755	703507	OM	269.721849603536	5.3802	342.773387282115	371.745896447676	299.353209707001	195.488934026549	246.365653849558	271.90181800885	218.26917340708	3.71614699115044	1.3797	1.3913	1.3672	1.3715	1.4478	0	1	0	0	1	0	0	6:2/2:6 Segment	single	750_1000	CN3	
1019	258	146	371	6:2	58	3	987674	987872	988018	988045	21	290.9336	336.0693	270.5458	711.5127	5.9932	8	1725	15.3297682709447	1	0	0	7	OM2	89	8_8_7_7_567_6_58_8	1	1	3	31	5:3_4:4_5:3a_4:4_3:5_4:4ai_6:2_5:3a	1641	986896.5	988579.5	OM	63.5609297855914	1.2984	65.9237720571804	64.5336829233047	181.556850539564	62.5718061449275	72.2792523478261	58.1869517681159	153.026789391304	1.28897228985507	1.0158	0.9121	1.1091	1.1864	1.0073	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	IN	
1021	106	19	194	(2:6)	56	3	398092	398246	398265	398286	10	104.1242	91.3789	48.962	24.6891	0.3074	2	864	17.6372712146423	1	0	1	9	OM4	89	56_5	1	0	1	10	(2:6)_(3:5)_(4:4aCO)	338	398169	398770	OM	1.89706947859717	0	2.2908619816616	1.53372756923981	0.495969507101669	23.3797393518519	20.5179474537037	10.9937824074074	5.54361736111111	0.0690226851851852	0.0811	0.1117	0.1395	0.0895	0	0	0	0	0	0	0	0	6:2/2:6 Segment	single	30_150	AC	
1023	252	144	360	(2:6)	12	2	733970	733979	734123	734330	4	2.7708	1.6173	4.8491	3.7633	0	3	697	39.0092879256966	2	0	1	7	OM1	90	12_123_123	1	0	3	20	(2:6)_(5:3)_(2:6)_(4:4aCO)	595	733974.5	734620.5	OM	1.59479467292804	0	1.10837189969839	4.21790084745289	2.93990476890096	1.43111621233859	0.835334289813486	2.50455667144907	1.94374175035868	0	1.1144	1.3269	1.6841	1.5125	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
1025	169	0	338	(2:6)	123	1	734330	734573	734573	734668	4	2.7708	1.6173	4.8491	3.7633	0	3	697	26.1609907120743	2	0	1	7	OM1	90	12_123_123	1	0	3	20	(2:6)_(5:3)_(2:6)_(4:4aCO)	595	733974.5	734620.5	OM	1.17599102920315	0	0.508924846644293	0.631234817364838	0.823381406404566	1.34365911047346	0.784286083213773	2.35150043041607	1.82495753228121	0	0.8752	0.6489	0.2684	0.4512	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
1026	218	0	435	6:2	12	1	68659	68967	68967	69094	1	942.0987	920.6742	767.2064	1894.9136	49.4656	1	434	100	1	0	0	10	OM4	90	12	1	1	1	10	6:2	1	68812.75	69030.75	OM	942.098746546771	49.4656	920.67415471993	767.206357785721	1894.91362311305	944.269434331797	922.795569124424	768.974156682028	1899.27976036866	49.5795760368664	0.9977	0.9977	0.9977	0.9977	0.9977	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	CN1	
1027	516	358	675	(2:6)	12	13	294619	294826	295184	295294	16	214.2027	163.4797	184.031	161.4525	2.3704	3	984	64.9874055415617	1	0	1	10	OM5	90	12_1_2	1	0	1	12	(2:6)_(3:5)_(4:4)_(4:4aCO)	605	294722.75	295516.75	OM	210.717747522071	2.3704	160.802747245539	176.18202846433	160.159437562849	146.937827743902	112.143086890244	126.240777439024	110.752477134146	1.62603658536585	1.4341	1.4339	1.3956	1.4461	1.4578	0	2	0	520.5	1	0	0	6:2/2:6 Segment	single	300_500	CC7	
1030	118	0	237	(2:6)	12	1	1012544	1012661	1012661	1012781	3	8.582	7.56	7.5978	5.715	0	2	455	35.3293413173653	1	0	1	7	OM7	90	12_6	1	0	1	10	(2:6)_(3:5)_(4:4aCO)	214	1012602.75	1012936.75	OM	5.33812105524483	0	4.90350290036226	5.59919586057418	3.8364111671755	4.47018461538462	3.93784615384615	3.95753538461538	2.97682417582418	0	1.1942	1.2452	1.4148	1.2888	0	0	0	0	0	0	0	0	6:2/2:6 Segment	single	30_150	AC	
1032	613	0	1226	2:6	12	1	55837	56514	56514	57063	11	314.8514	224.6521	224.8053	445.3452	8.1412	6	2792	27.0282186948854	1	0	0	9	OM8	90	12_17_27_2_2_2	1	1	3	31	2:6_4:4ai_4:4_3:5_4:4_3:5	1743	56175.25	58443.25	OM	300.539576242008	8.1412	214.70547036511	215.172155866569	431.985339283821	138.254948567335	98.6473762893983	98.7146482091691	195.556309169054	3.57489656160458	2.1738	2.1765	2.1797	2.209	2.2773	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AN	
1039	362	46	677	(2:6)	2	2	78874	79092	79138	79551	3	105.1927	136.4189	125.2689	19.189	1.3702	2	2347	27.718223583461	1	0	1	10	OM4	91	278_2	1	0	1	9	(3:5)_(2:6)_(4:4aCO)	265	78038.5	79344.5	OM	100.526777934738	1.3702	134.700043873913	123.964576007043	15.4686867206857	30.3431861525352	39.3504879846613	36.134233191308	5.53513123135918	0.395238772901577	3.313	3.4231	3.4307	2.7946	3.4668	0	1	0	0	0	0	0	6:2/2:6 Segment	single	30_150	AC	
1040	204	21	388	(2:6)	34	2	360588	360746	360767	360976	6	715.6792	943.8805	792.078	711.5565	29.911	2	896	27.3458445040214	1	0	1	10	OM5	91	34_1	1	0	1	10	(2:6)_(3:5)_(4:4aCO)	595	360666.75	361412.75	OM	337.108226094229	14.857	503.09211579084	433.26113470002	423.478932055828	309.914653571429	408.733966517857	342.9980625	308.129377232143	12.95253125	1.0877	1.2309	1.2632	1.3744	1.147	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
1045	162	0	324	6:2	6	1	129186	129219	129219	129510	12	147.8318	125.5058	148.249	89.7963	2.1888	5	1678	11.2033195020747	1	0	0	10	OM4	92	6_6_5_6_6	1	1	2	17	5:3_4:4_5:3a_6:2_5:3a	1215	128225.25	129671.25	OM	3.56808301384151	0	3.84384295041147	3.99735374361999	4.91808084855717	28.5444	24.2335394517282	28.6249558998808	17.3384989272944	0.42262884386174	0.125	0.1586	0.1396	0.2837	0	0	1	0	0	0	0	0	6:2/2:6 Segment	single	30_150	IN	
1047	458	76	840	(6:2)	34	2	400808	401166	401242	401648	9	45.1775	41.0106	34.1252	35.2967	0.385	3	1874	27.8758368837492	2	0	1	10	OM5	92	34_12_12	1	0	1	12	(6:2)_(4:4aCO)_(6:2)_(4:4a)	1412	400987	402630	OM	2.89061535705892	0	1.08956728665414	0.71865348799974	1.71998783886771	20.2503201707577	18.382552828175	15.2962475987193	15.8213596584845	0.172572038420491	0.1427	0.0593	0.047	0.1087	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
1049	424	310	538	(6:2)	12	5	402145	402267	402577	402683	9	45.1775	41.0106	34.1252	35.2967	0.385	3	1874	25.8064516129032	2	0	1	10	OM5	92	34_12_12	1	0	1	12	(6:2)_(4:4aCO)_(6:2)_(4:4a)	1412	400987	402630	OM	40.8016974286324	0.385	39.220121264438	32.9805438922191	32.3788660991638	12.9698479188901	11.7735874066169	9.79688239060832	10.1332041622199	0.110528281750267	3.1459	3.3312	3.3664	3.1953	3.4833	0	1	0	0	1	0	0	6:2/2:6 Segment	multi	300_500	AC	
1050	1008	0	2016	(2:6)	12	1	631130	632972	632972	633146	1	69.2865	68.7315	88.6727	83.9425	2.0234	1	2015	100	1	0	1	10	OM3	93	12	1	0	1	16	(2:6)_(4:4aCO)	1	632051	633059	OM	69.2865467366543	2.0234	68.7314608239464	88.6727384752002	83.9424889572974	69.3208853598015	68.7656099255583	88.7167063027295	83.984158808933	2.02440416873449	0.9995	0.9995	0.9995	0.9995	0.9995	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
1053	351	0	702	2:6	34	1	315888	316551	316551	316590	14	1370.5222	1491.254	1699.566	2314.3128	40.9018	4	2507	15.0385604113111	1	0	0	10	OM4	93	8_8_34_3	1	1	3	30	5:3_4:4_2:6_3:5	2162	314763.75	317097.75	OM	312.519040868402	4.6818	417.057810328212	485.923182112653	228.397259148543	383.768083127244	417.574913442361	475.905597128042	648.044509613083	11.4531566015158	0.8143	0.9988	1.021	0.3524	0.4088	0	2	0	713.5	2	0	551	6:2/2:6 Segment	single	30_150	CN5	
1056	566	465	668	(2:6)	6	3	121987	122169	122634	122655	11	1860.2004	1921.5179	2197.8033	1876.0774	70.004	5	1842	38.2949932341001	2	0	1	8	OM7	93	5_6_6_6_678	1	0	3	20	(3:5)_(2:6)_(3:5)_(2:6)_(5:3)_(4:4aCO)	1113	121731.75	123209.75	OM	1503.06277151152	60.6614	1628.23162882791	1827.19934812062	1265.93115627854	674.600362214984	696.837110314875	797.031815635179	680.358145059718	25.386901194354	2.2281	2.3366	2.2925	1.8607	2.3895	0	1	0	0	1	0	0	6:2/2:6 Segment	multi	300_500	AC	
1058	292	158	425	(2:6)	6	4	122674	122848	123006	123099	11	1860.2004	1921.5179	2197.8033	1876.0774	70.004	5	1842	19.7564276048714	2	0	1	8	OM7	93	5_6_6_6_678	1	0	3	20	(3:5)_(2:6)_(3:5)_(2:6)_(5:3)_(4:4aCO)	1113	121731.75	123209.75	OM	193.827067489206	5.8138	157.134647407462	172.134163932758	465.428068978795	429.199332247557	443.346963897937	507.093595276873	432.862592290988	16.1518458197611	0.4516	0.3544	0.3395	1.0752	0.3599	0	1	0	0	1	0	0	6:2/2:6 Segment	multi	150_300	AC	
1063	498	0	995	(6:2)	1	1	329634	330227	330227	330629	12	789.5418	699.228	949.7309	227.197	17.8658	4	3545	15.6801007556675	1	0	1	8	OM2	94	1_1_2_1	1	0	2	32	(5:3)_(4:4)_(5:3a)_(6:2)_(4:4aCO)	2806	327252.25	330428.25	OM	59.6108522373851	0.4502	45.0951624972405	63.3711346294952	97.0260605190833	221.606231593794	196.25722425952	266.567629196051	63.7689746121298	5.01451932299013	0.269	0.2298	0.2377	1.5215	0.0898	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
1066	403	0	806	2:6	34	1	503352	503880	503880	504158	10	184.3219	203.6121	169.8418	269.3806	1.633	3	1994	24.0740740740741	1	0	0	10	OM5	94	4_4_34	1	1	1	8	3:5_4:4_2:6	1354	502345	504019	OM	168.742459658324	1.523	188.81992026433	159.293521464293	259.140066093078	74.5052414242728	82.3025840521565	68.6522020060181	108.887042928786	0.660079237713139	2.2648	2.2942	2.3203	2.3799	2.3073	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AN	
1068	385	0	770	(6:2)	78	1	268579	268690	268690	269349	10	2054.8905	2171.917	2809.2001	3926.8262	115.1758	3	1758	26.2619372442019	1	0	1	9	OM8	94	1278_78_567	2	1	0	3	(4:4aCO)_(6:2)_(3:5)_(4:4bCO)	1174	267970	269436	OM	85.0766544046025	3.4176	108.047105521668	158.827321894694	65.9814504275278	900.037363481229	951.294704209329	1230.4232519909	1719.94094084187	50.4467383390216	0.0945	0.1136	0.1291	0.0384	0.0677	0	2	0	716	1	0	0	6:2/2:6 Segment	single	30_150	AC	
